"","FIPS_CODE","Total_Pop","Male_Pop_Prop","Total_White","Total_Black","Total_Hispanic","Total_Other","Total_Households_Below_Poverty","Total_Households_Above_Poverty","total cases","4 week ahead mean error","3 week ahead mean error","2 week ahead mean error","1 week ahead mean error","4 week ahead absolute error mean","3 week ahead absolute error mean","2 week ahead absolute error mean","1 week ahead absolute error mean","4 week ahead absolute error median","3 week ahead absolute error median","2 week ahead absolute error median","1 week ahead absolute error median","4 week ahead absolute error q1","3 week ahead absolute error q1","2 week ahead absolute error q1","1 week ahead absolute error q1","4 week ahead absolute error q3","3 week ahead absolute error q3","2 week ahead absolute error q3","1 week ahead absolute error q3"
"1936","37093",53239,0.494374424763801,24053,17740,6950,11446,3400,14322,9481,-35.7162162162162,-34.0135135135135,-32.4189189189189,-30.6081081081081,64.0405405405405,58.6891891891892,51.0135135135135,46.0405405405405,39,37.5,27,19.5,16.25,15.25,11.25,8,94,75,55.75,56.5
"1937","37095",5393,0.525125162247358,3578,1636,536,179,390,1379,1139,-2.89189189189189,-2.7027027027027,-2.59459459459459,-2.62162162162162,14.4594594594595,13.2162162162162,10.972972972973,8.24324324324324,4,5,4,4,1,2,1,1,17,14,13.5,10
"1938","37097",172525,0.492311259237792,140774,21229,12869,10522,7462,57784,39592,-166.608108108108,-159.581081081081,-144.986486486486,-135.135135135135,292.013513513513,264.202702702703,224.175675675676,198.756756756757,180,193,108,76,63,47.5,43,29.25,440.25,355.5,263.75,224.75
"1939","37099",42256,0.493137069291935,35367,986,2376,5903,3085,13557,7096,-31.5,-29.5540540540541,-26.5405405405405,-24.2567567567568,60.527027027027,55.6621621621622,47.8378378378378,43.5810810810811,45,21,20.5,18,13,9,8,8.25,91,94.75,60.75,52.75
"1940","37101",191172,0.490997635637018,148193,29837,25735,13142,7935,59219,44131,-162.013513513514,-157.648648648649,-151.72972972973,-145.554054054054,291.581081081081,262.756756756757,246.432432432432,216.851351351351,203.5,165.5,147.5,101.5,87.75,80.75,66.5,42.5,392.75,354,338.5,257.75
"1941","37103",9695,0.497988653945333,6363,3028,445,304,1004,3133,1802,-8.08108108108108,-7.51351351351351,-6.77027027027027,-6.24324324324324,14.027027027027,13.2702702702703,11.1756756756757,11.6486486486486,11,9,7,8,5,4,2,4,16,18,14,14.75
"1942","37105",60125,0.486070686070686,44122,11902,11556,4101,3342,18402,12032,-47.472972972973,-45.0675675675676,-40.7702702702703,-37.2027027027027,96.7432432432432,85.6351351351351,76.5,65.4189189189189,64,50.5,45,26.5,26,22.25,21,15,149.75,119.25,93.25,69.5
"1943","37107",57227,0.478637705977947,31475,22536,4364,3216,4879,18242,12635,-59.8783783783784,-56.7837837837838,-50.2702702702703,-45.7972972972973,101.391891891892,91.5945945945946,83.7837837837838,69.9594594594595,62.5,54,47,34,24.25,16.25,17.25,9,115.75,115.5,105.5,73
"1944","37109",81441,0.495720828575288,72619,4067,5755,4755,4492,27530,20295,-79.5810810810811,-74.445945945946,-68.7162162162162,-66.1351351351351,145.608108108108,127.418918918919,110.067567567568,94.1081081081081,96,81,56.5,39.5,40.5,26.25,28,14,211,180.75,140,126.5
"1945","37111",45109,0.506173934248154,41076,1625,2700,2408,3000,14961,10918,-56.1216216216216,-52.4324324324324,-47.2297297297297,-42.6891891891892,94.3648648648649,84.2162162162162,71.7702702702703,62.8243243243243,50.5,41.5,31,29.5,22,16.25,15.75,11.25,126.5,94,64,51
"1946","37113",34410,0.483289741354258,32278,489,2367,1643,2282,13417,6561,-27.8513467904949,-26.1621621621622,-23.9189189189189,-23.4594594594595,60.1756711148193,54.7567567567568,50.4324324324324,43.4594594594595,37.5,36,29,19.5,12,9.25,11,5.5,99,89,78.75,58.75
